,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Free Cash Flow,-15266000.0,-398363000.0,3316653000.0,-85778000.0,-236473000.0,
Repayment Of Debt,-86885000.0,-898657000.0,-144764000.0,-190987000.0,-373136000.0,
Issuance Of Debt,873673000.0,369289000.0,-183691000.0,306906000.0,758040000.0,
Issuance Of Capital Stock,0.0,13137000.0,0.0,0.0,0.0,
Capital Expenditure,-176607000.0,-164452000.0,-316308000.0,-148388000.0,-297191000.0,
End Cash Position,2386339000.0,2518502000.0,3661184000.0,1533355000.0,1585171000.0,
Beginning Cash Position,2518502000.0,3661184000.0,1533355000.0,1585171000.0,1497064000.0,
Changes In Cash,-132163000.0,-1142682000.0,2127829000.0,-51816000.0,88107000.0,
Financing Cash Flow,651547000.0,-657016000.0,-339992000.0,55336000.0,320487000.0,
Cash Dividends Paid,-137500000.0,-137595000.0,-62500000.0,-62500000.0,-62500000.0,
Common Stock Dividend Paid,-137500000.0,-137595000.0,-62500000.0,-62500000.0,-62500000.0,
Net Common Stock Issuance,0.0,13137000.0,0.0,0.0,0.0,
Common Stock Issuance,0.0,13137000.0,0.0,0.0,0.0,
Net Issuance Payments Of Debt,786788000.0,-529368000.0,-328455000.0,115919000.0,384904000.0,
Net Long Term Debt Issuance,786788000.0,-529368000.0,-328455000.0,115919000.0,384904000.0,
Long Term Debt Payments,-86885000.0,-898657000.0,-144764000.0,-190987000.0,-373136000.0,
Long Term Debt Issuance,873673000.0,369289000.0,-183691000.0,306906000.0,758040000.0,
Investing Cash Flow,-945051000.0,-251755000.0,-1165140000.0,-169762000.0,-293098000.0,
Net Other Investing Changes,-82000.0,7759000.0,-925296000.0,-115232000.0,84599000.0,
Net Investment Purchase And Sale,-768362000.0,-95062000.0,,,-80506000.0,-13352000.0
Net Business Purchase And Sale,0.0,0.0,76464000.0,0.0,0.0,
Purchase Of Business,0.0,0.0,0.0,0.0,0.0,
Net Intangibles Purchase And Sale,-5744000.0,-18977000.0,-13570000.0,-3151000.0,-1634000.0,
Purchase Of Intangibles,-5744000.0,-18977000.0,-13570000.0,-3151000.0,-1634000.0,
Net PPE Purchase And Sale,-170863000.0,-145475000.0,-302738000.0,-145237000.0,-295557000.0,
Purchase Of PPE,-170863000.0,-145475000.0,-302738000.0,-145237000.0,-295557000.0,
Operating Cash Flow,161341000.0,-233911000.0,3632961000.0,62610000.0,60718000.0,
Taxes Refund Paid,-625000.0,-881000.0,0.0,0.0,0.0,
Interest Paid Cfo,-140027000.0,-191533000.0,-160193000.0,-188112000.0,-127943000.0,
Change In Working Capital,-237644000.0,-415451000.0,2016385000.0,16636000.0,32529000.0,
Change In Other Current Assets,-242353000.0,-236870000.0,1616805000.0,-207155000.0,299500000.0,
Change In Inventory,65864000.0,-127387000.0,256290000.0,-164496000.0,-137263000.0,
Change In Receivables,-61155000.0,-51194000.0,143290000.0,388287000.0,-129708000.0,
Other Non Cash Items,113321000.0,238493000.0,736458000.0,98854000.0,1073000.0,
Depreciation And Amortization,44194000.0,6637000.0,-4197000.0,22867000.0,15941000.0,
Depreciation,44194000.0,6637000.0,-4197000.0,22867000.0,15941000.0,
Gain Loss On Investment Securities,-59223000.0,-277619000.0,-36804000.0,-197714000.0,-125138000.0,
Net Income From Continuing Operations,444228000.0,408671000.0,1035794000.0,325748000.0,266546000.0,
