,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,32885000.0,40729000.0,26006000.0,7959000.0,10698000.0,,
Repurchase Of Capital Stock,0.0,-1705000.0,0.0,0.0,-1027000.0,,
Capital Expenditure,-14952000.0,-10689000.0,-14980000.0,-9237000.0,-13678000.0,,
End Cash Position,50313000.0,63637000.0,35255000.0,20658000.0,23674000.0,,
Beginning Cash Position,63637000.0,35255000.0,20658000.0,23674000.0,50440000.0,,
Effect Of Exchange Rate Changes,0.0,-1000.0,3000.0,-3000.0,-1000.0,,
Changes In Cash,-13324000.0,28383000.0,14594000.0,-3013000.0,-26765000.0,,
Financing Cash Flow,-46214000.0,-12346000.0,-11424000.0,-10974000.0,-37474000.0,,
Interest Paid Cff,-36251000.0,-1232000.0,-1231000.0,-1170000.0,-24736000.0,,
Cash Dividends Paid,,,,0.0,,,0.0
Net Common Stock Issuance,0.0,-1705000.0,0.0,0.0,-1027000.0,,
Common Stock Payments,0.0,-1705000.0,0.0,0.0,-1027000.0,,
Net Issuance Payments Of Debt,,0.0,,,,0.0,
Net Long Term Debt Issuance,,0.0,,,,0.0,
Investing Cash Flow,-14947000.0,-10689000.0,-14968000.0,-9235000.0,-13667000.0,,
Dividends Received Cfi,,0.0,,,,0.0,
Net Business Purchase And Sale,,0.0,,,,0.0,
Purchase Of Business,,0.0,,,,0.0,
Net PPE Purchase And Sale,10694000.0,-10689000.0,-14968000.0,-31492000.0,8590000.0,,
Sale Of PPE,,,12000.0,2000.0,,,3000.0
Purchase Of PPE,,-10689000.0,-14980000.0,,,-8579000.0,-11470000.0
Operating Cash Flow,47837000.0,51418000.0,40986000.0,17196000.0,24376000.0,,
Taxes Refund Paid,-9176000.0,-12171000.0,-9275000.0,-7849000.0,-8300000.0,,
Change In Working Capital,-11369000.0,2042000.0,-32326000.0,-23149000.0,-25491000.0,,
Change In Other Current Liabilities,-14679000.0,14361000.0,6202000.0,-722000.0,-154000.0,,
Change In Other Current Assets,-82000.0,-10000.0,-7000.0,2406000.0,310000.0,,
Change In Payable,4380000.0,-25133000.0,16888000.0,20040000.0,-3789000.0,,
Change In Inventory,168000.0,-47722000.0,17120000.0,-19880000.0,-9416000.0,,
Change In Receivables,-1156000.0,60546000.0,-72529000.0,-24993000.0,-12442000.0,,
Other Non Cash Items,5305000.0,5323000.0,4499000.0,4433000.0,3309000.0,,
Provisionand Write Offof Assets,4126000.0,2327000.0,2987000.0,-872000.0,2779000.0,,
Deferred Tax,10705000.0,8958000.0,12780000.0,4386000.0,8163000.0,,
Depreciation And Amortization,11125000.0,10525000.0,10806000.0,10146000.0,9884000.0,,
Depreciation,11125000.0,10525000.0,10806000.0,10146000.0,9884000.0,,
Gain Loss On Sale Of PPE,,,19000.0,,43000.0,0.0,70000.0
Net Income From Continuing Operations,37121000.0,34401000.0,43636000.0,29902000.0,33989000.0,,
