,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,11199634000.0,19113197000.0,47243092000.0,35755470000.0,22344441000.0,,
Repayment Of Debt,,-3624702000.0,,,,-2392981000.0,
Issuance Of Debt,,0.0,,,,8000000000.0,
Capital Expenditure,-2108626000.0,-1617755000.0,-2121844000.0,-1779236000.0,-1631202000.0,,
End Cash Position,65017849000.0,61693113000.0,59635525000.0,65753371000.0,64935263000.0,,
Beginning Cash Position,61693113000.0,59635525000.0,65753371000.0,64935263000.0,71510833000.0,,
Effect Of Exchange Rate Changes,-501025000.0,-2475992000.0,2220883000.0,-2111282000.0,-2757150000.0,,
Changes In Cash,3825761000.0,4533580000.0,-8338729000.0,2929390000.0,-3818420000.0,,
Financing Cash Flow,305801000.0,-7281678000.0,-8364354000.0,2811119000.0,-1244432000.0,,
Net Other Financing Charges,,,-7367812000.0,4406760000.0,,,2924340000.0
Interest Paid Cff,-1000.0,-36272000.0,0.0,0.0,35338000.0,,
Cash Dividends Paid,-340717000.0,-1635144000.0,-672217000.0,0.0,-2424383000.0,,
Common Stock Dividend Paid,-340717000.0,-1635144000.0,-672217000.0,0.0,-2424383000.0,,
Net Issuance Payments Of Debt,,-3624702000.0,,,,5607019000.0,
Net Long Term Debt Issuance,,-3624702000.0,,,,5607019000.0,
Long Term Debt Payments,,-3624702000.0,,,,-2392981000.0,
Long Term Debt Issuance,,0.0,,,,8000000000.0,
Investing Cash Flow,-9788300000.0,-8915694000.0,-49339311000.0,-37416435000.0,-26549631000.0,,
Dividends Received Cfi,1401241000.0,1806712000.0,1811439000.0,1789604000.0,1181345000.0,,
Net Investment Purchase And Sale,-9082648000.0,-9139041000.0,-49032791000.0,-37417571000.0,-26100128000.0,,
Sale Of Investment,41303212000.0,39503087000.0,42087971000.0,28466878000.0,109061571000.0,,
Purchase Of Investment,-50385860000.0,-48642128000.0,-91120762000.0,-65884449000.0,-135161699000.0,,
Net Business Purchase And Sale,0.0,30804000.0,0.0,-10000000.0,-1542000.0,,
Sale Of Business,0.0,39804000.0,0.0,0.0,,,
Purchase Of Business,0.0,-9000000.0,0.0,-10000000.0,-5000000.0,,
Net Intangibles Purchase And Sale,-1305892000.0,-416930000.0,-903930000.0,-559274000.0,-1002093000.0,,
Purchase Of Intangibles,-1305892000.0,-416930000.0,-903930000.0,-559274000.0,-1002093000.0,,
Net PPE Purchase And Sale,-801001000.0,-1197239000.0,-1214029000.0,-1219194000.0,-627213000.0,,
Sale Of PPE,1733000.0,3586000.0,3885000.0,768000.0,1896000.0,,
Purchase Of PPE,-802734000.0,-1200825000.0,-1217914000.0,-1219962000.0,-629109000.0,,
Operating Cash Flow,13308260000.0,20730952000.0,49364936000.0,37534706000.0,23975643000.0,,
Taxes Refund Paid,-657883000.0,-2707490000.0,-497454000.0,-534666000.0,-406497000.0,,
Change In Working Capital,-8651046000.0,2460117000.0,27440640000.0,14722579000.0,2053519000.0,,
Change In Other Current Liabilities,94869987000.0,-2256343000.0,-12506113000.0,-6328434000.0,107161292000.0,,
Change In Other Current Assets,5332400000.0,-11822839000.0,-2366475000.0,-818777000.0,-491343000.0,,
Other Non Cash Items,-94886000.0,-113945000.0,-33216000.0,-7106000.0,-381244000.0,,
Provisionand Write Offof Assets,19434897000.0,17177438000.0,21967599000.0,27622357000.0,17641252000.0,,
Deferred Tax,-1554384000.0,-2083450000.0,-2974188000.0,-2077368000.0,-2220731000.0,,
Depreciation And Amortization,1648940000.0,1608712000.0,1606252000.0,1508013000.0,1406452000.0,,
Amortization Cash Flow,741414000.0,719557000.0,709009000.0,693102000.0,670294000.0,,
Depreciation,907526000.0,889155000.0,897243000.0,814911000.0,736158000.0,,
Pension And Employee Benefit Expense,1821238000.0,1564173000.0,-629112000.0,-6464218000.0,2068566000.0,,
Gain Loss On Investment Securities,-59372000.0,-132596000.0,-115830000.0,-84211000.0,-205609000.0,,
Net Foreign Currency Exchange Gain Loss,258611000.0,1791403000.0,-925439000.0,1901271000.0,2534681000.0,,
Gain Loss On Sale Of PPE,-32861000.0,-198247000.0,-180032000.0,-91600000.0,-83857000.0,,
Net Income From Continuing Operations,3256684000.0,3106277000.0,6015079000.0,3006743000.0,3582262000.0,,
