,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,10338040.0,0.0,0.0,,
Tax Rate For Calcs,0.4,0.4,0.34,0.34,0.34,,
Normalized EBITDA,66941000.0,82520000.0,156561000.0,146146000.0,87147000.0,,
Total Unusual Items,,,12750000.0,,,,
Total Unusual Items Excluding Goodwill,,,30406000.0,,,,
Net Income From Continuing Operation Net Minority Interest,-72537000.0,-72321000.0,-27693000.0,40626000.0,-46434000.0,,
Reconciled Depreciation,51061000.0,55523000.0,68587000.0,53444000.0,55848000.0,,
Reconciled Cost Of Revenue,7076000.0,8777000.0,10329000.0,9542000.0,6279000.0,,
EBITDA,66941000.0,82520000.0,169311000.0,146146000.0,87147000.0,,
EBIT,15880000.0,26997000.0,100724000.0,92702000.0,31299000.0,,
Net Interest Income,,-77786000.0,-14329000.0,-64799000.0,-74972000.0,-52556000.0,
Interest Expense,,80779000.0,80929000.0,,74972000.0,72598000.0,85733000.0
Interest Income,,1660000.0,-3279000.0,,,4974000.0,6611000.0
Normalized Income,-72537000.0,-72321000.0,-47760960.0,40626000.0,-46434000.0,,
Net Income From Continuing And Discontinued Operation,-72537000.0,-72321000.0,-27693000.0,40626000.0,-46434000.0,,
Total Expenses,316823000.0,358427000.0,380869000.0,296293000.0,316934000.0,,
Diluted Average Shares,527158430.0,525583000.0,,521235262.0,523909971.0,309035000.0,
Basic Average Shares,527158430.0,525583000.0,,521235262.0,523909971.0,309035000.0,
Diluted EPS,-0.1376,-0.1376,,0.36,-0.37,-0.02105,
Basic EPS,-0.1376,-0.1376,,0.36,-0.37,-0.02105,
Diluted NI Availto Com Stockholders,-72537000.0,-72321000.0,-27693000.0,40626000.0,-46434000.0,,
Net Income Common Stockholders,-72537000.0,-72321000.0,-27693000.0,40626000.0,-46434000.0,,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,,
Net Income,-72537000.0,-72321000.0,-27693000.0,40626000.0,-46434000.0,,
Net Income Including Noncontrolling Interests,-72537000.0,-72321000.0,-27693000.0,40626000.0,-46434000.0,,
Net Income Continuous Operations,-72537000.0,-72321000.0,-27693000.0,40626000.0,-46434000.0,,
Tax Provision,666000.0,18539000.0,47488000.0,-12723000.0,2761000.0,,
Pretax Income,-71871000.0,-53782000.0,19795000.0,27903000.0,-43673000.0,,
Net Non Operating Interest Income Expense,,-77786000.0,-14329000.0,-64799000.0,-74972000.0,-52556000.0,
Total Other Finance Cost,,-1333000.0,-69879000.0,,,-15068000.0,4347000.0
Interest Expense Non Operating,,80779000.0,80929000.0,,74972000.0,72598000.0,85733000.0
Interest Income Non Operating,,1660000.0,-3279000.0,,,4974000.0,6611000.0
Operating Income,15880000.0,19349000.0,-5344000.0,92702000.0,31299000.0,,
Operating Expense,309747000.0,349650000.0,370540000.0,286751000.0,310655000.0,,
Other Operating Expenses,,14349000.0,-81363000.0,-16089000.0,,18032000.0,16670000.0
Selling General And Administration,310183000.0,335301000.0,988840000.0,302840000.0,329102000.0,,
Selling And Marketing Expense,80523000.0,85401000.0,12858000.0,65790000.0,80873000.0,,
General And Administrative Expense,229660000.0,249900000.0,,237050000.0,248229000.0,242070000.0,
Gross Profit,325627000.0,368999000.0,365196000.0,379453000.0,341954000.0,,
Cost Of Revenue,7076000.0,8777000.0,10329000.0,9542000.0,6279000.0,,
Total Revenue,332703000.0,377776000.0,375525000.0,388995000.0,348233000.0,,
Operating Revenue,332703000.0,377776000.0,375525000.0,388995000.0,348233000.0,,
