,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-100410000.0,31340000.0,10122000.0,-13807000.0,-43643000.0,,
Repayment Of Debt,-105177000.0,-188597000.0,-178395000.0,-128144000.0,-250176000.0,,
Issuance Of Debt,170577000.0,285363000.0,174048000.0,227200000.0,266489000.0,,
Capital Expenditure,-7354000.0,-3511000.0,-3215000.0,-6475000.0,-12536000.0,,
End Cash Position,99453000.0,150049000.0,110290000.0,191247000.0,76446000.0,,
Beginning Cash Position,150049000.0,110290000.0,191247000.0,76446000.0,92846000.0,,
Changes In Cash,-50596000.0,39759000.0,-80957000.0,114801000.0,-16400000.0,,
Financing Cash Flow,62152000.0,111201000.0,-22030000.0,69890000.0,16064000.0,,
Net Other Financing Charges,68000.0,14435000.0,-12359000.0,-29166000.0,13172000.0,,
Cash Dividends Paid,,,-5324000.0,0.0,,,0.0
Common Stock Dividend Paid,,,-5324000.0,,,,0.0
Net Issuance Payments Of Debt,65400000.0,96766000.0,-4347000.0,99056000.0,16313000.0,,
Net Long Term Debt Issuance,65400000.0,96766000.0,-4347000.0,99056000.0,16313000.0,,
Long Term Debt Payments,-105177000.0,-188597000.0,-178395000.0,-128144000.0,-250176000.0,,
Long Term Debt Issuance,170577000.0,285363000.0,174048000.0,227200000.0,266489000.0,,
Investing Cash Flow,-19692000.0,-106293000.0,-72264000.0,52243000.0,-1357000.0,,
Net Other Investing Changes,,,-90035000.0,52861000.0,,,112525000.0
Net Investment Purchase And Sale,-1951000.0,-10852000.0,18007000.0,3977000.0,8507000.0,,
Sale Of Investment,,1720000.0,,,,121132000.0,
Purchase Of Investment,,-12572000.0,,,,-79739000.0,
Net Investment Properties Purchase And Sale,-1650000.0,101000.0,2979000.0,1880000.0,-8052000.0,,
Net PPE Purchase And Sale,-7354000.0,-3511000.0,-3215000.0,-6475000.0,-12536000.0,,
Purchase Of PPE,-7354000.0,-3511000.0,,,-12536000.0,-1734000.0,
Operating Cash Flow,-93056000.0,34851000.0,13337000.0,-7332000.0,-31107000.0,,
Taxes Refund Paid,-3685000.0,-4992000.0,-6364000.0,-8014000.0,-6404000.0,,
Interest Paid Cfo,-80145000.0,-62602000.0,-65598000.0,-57681000.0,-59160000.0,,
Change In Working Capital,-128340000.0,-13986000.0,-41976000.0,-70655000.0,-71721000.0,,
Change In Other Current Assets,533000.0,-2101000.0,-8431000.0,3888000.0,-13928000.0,,
Change In Payable,-13041000.0,-66446000.0,-95644000.0,-17413000.0,7208000.0,,
Change In Inventory,-72314000.0,85374000.0,29918000.0,-151547000.0,-75540000.0,,
Change In Receivables,-35237000.0,-31670000.0,33100000.0,86382000.0,10629000.0,,
Other Non Cash Items,108667000.0,100410000.0,129320000.0,122475000.0,104024000.0,,
Provisionand Write Offof Assets,7627000.0,-3509000.0,-13701000.0,-9864000.0,-12983000.0,,
Deferred Tax,738000.0,-58000.0,-95000.0,-1523000.0,-297000.0,,
Depreciation And Amortization,4192000.0,4107000.0,3226000.0,3209000.0,1333000.0,,
Amortization Cash Flow,394000.0,113000.0,,,110000.0,108000.0,
Depreciation,3798000.0,3994000.0,2786000.0,3427000.0,1115000.0,,
Gain Loss On Investment Securities,0.0,237000.0,-11942000.0,568000.0,766000.0,,
Net Income From Continuing Operations,10938000.0,29007000.0,29742000.0,18768000.0,25992000.0,,
