,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,1422325000.0,1451691000.0,1161588000.0,1178677000.0,
Repurchase Of Capital Stock,-25471000.0,-2106044000.0,-123690000.0,-155222000.0,
Repayment Of Debt,-1110522000.0,-623732000.0,-607516000.0,-600274000.0,
Issuance Of Debt,482842000.0,2587575000.0,584054000.0,298409000.0,
Issuance Of Capital Stock,-9662000.0,0.0,,,0.0
Capital Expenditure,-41592000.0,-37775000.0,-26012000.0,-25177000.0,
End Cash Position,191102000.0,49603000.0,157158000.0,23589000.0,
Other Cash Adjustment Outside Changein Cash,,,-500000.0,1000.0,
Beginning Cash Position,49603000.0,157158000.0,23589000.0,553793000.0,
Changes In Cash,141499000.0,-107555000.0,133569000.0,-530204000.0,
Financing Cash Flow,-1269366000.0,-791244000.0,-677727000.0,-804339000.0,
Net Other Financing Charges,-126000.0,-4000.0,-285000.0,368000.0,
Interest Paid Cff,-606376000.0,-632636000.0,-530290000.0,-347620000.0,
Cash Dividends Paid,,-513404000.0,-384185000.0,-208358000.0,-237048000.0
Common Stock Dividend Paid,,-513404000.0,-384185000.0,-208358000.0,-237048000.0
Net Common Stock Issuance,-35133000.0,-2106044000.0,-123690000.0,-155222000.0,
Common Stock Payments,-25471000.0,-2106044000.0,-123690000.0,-155222000.0,
Common Stock Issuance,-9662000.0,0.0,,,0.0
Net Issuance Payments Of Debt,-627680000.0,1963843000.0,-23462000.0,-301865000.0,
Net Long Term Debt Issuance,-627680000.0,1963843000.0,-23462000.0,-301865000.0,
Long Term Debt Payments,-1110522000.0,-623732000.0,-607516000.0,-600274000.0,
Long Term Debt Issuance,482842000.0,2587575000.0,584054000.0,298409000.0,
Investing Cash Flow,-53052000.0,-805777000.0,-376304000.0,-929719000.0,
Net Other Investing Changes,51983000.0,-202392000.0,26011000.0,1021000.0,
Dividends Received Cfi,0.0,0.0,17446000.0,23001000.0,
Net Investment Purchase And Sale,666965000.0,287577000.0,84813000.0,-684786000.0,
Sale Of Investment,4151084000.0,3771696000.0,1614220000.0,1513194000.0,
Purchase Of Investment,-3484119000.0,-3484119000.0,-1529407000.0,-2197980000.0,
Net Investment Properties Purchase And Sale,-730408000.0,-853187000.0,-478562000.0,-241340000.0,
Sale Of Investment Properties,,,,,0.0
Purchase Of Investment Properties,-730408000.0,-853187000.0,-478562000.0,-241340000.0,
Net Business Purchase And Sale,,,0.0,-2438000.0,-5010000.0
Sale Of Business,,,,0.0,0.0
Purchase Of Business,,,0.0,-2438000.0,-5010000.0
Net Intangibles Purchase And Sale,-38850000.0,-30956000.0,-23163000.0,-22311000.0,
Purchase Of Intangibles,-38850000.0,-30956000.0,-23163000.0,-22311000.0,
Net PPE Purchase And Sale,-2742000.0,-6819000.0,-2849000.0,-2866000.0,
Sale Of PPE,,,,,86000.0
Purchase Of PPE,-2742000.0,-6819000.0,-2849000.0,-2866000.0,
Operating Cash Flow,1463917000.0,1489466000.0,1187600000.0,1203854000.0,
Taxes Refund Paid,-98917000.0,-109700000.0,-106524000.0,-91226000.0,
Change In Working Capital,-539805000.0,-340907000.0,-311690000.0,-160737000.0,
Change In Other Current Liabilities,1586000.0,-40863000.0,-38256000.0,-13589000.0,
Change In Other Current Assets,-171082000.0,39769000.0,-68255000.0,-24385000.0,
Change In Payable,-40310000.0,-65003000.0,-8455000.0,-50120000.0,
Change In Inventory,-45460000.0,-12200000.0,-161187000.0,-34710000.0,
Change In Receivables,-284539000.0,-262610000.0,-35537000.0,-37933000.0,
Other Non Cash Items,692720000.0,385179000.0,371743000.0,456378000.0,
Stock Based Compensation,40376000.0,47087000.0,42491000.0,38484000.0,
Provisionand Write Offof Assets,7125000.0,-23137000.0,13687000.0,36074000.0,
Depreciation And Amortization,137757000.0,138508000.0,170144000.0,206751000.0,
Amortization Cash Flow,22204000.0,18246000.0,15985000.0,16367000.0,
Depreciation,115553000.0,120262000.0,154159000.0,190384000.0,
Gain Loss On Investment Securities,-103283000.0,-124676000.0,-103968000.0,-92016000.0,
Gain Loss On Sale Of PPE,0.0,0.0,135000.0,0.0,
Net Income From Continuing Operations,1327945000.0,1517029000.0,1131034000.0,826699000.0,
