,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,11600.0,-18205300.0,0.0,0.0,,
Tax Rate For Calcs,0.4,0.4,0.34,0.34,0.34,,
Normalized EBITDA,309682000.0,246811000.0,369737000.0,511026000.0,537474000.0,,
Total Unusual Items,,29000.0,-53545000.0,,,12839000.0,-120195000.0
Total Unusual Items Excluding Goodwill,,29000.0,-53545000.0,,,12839000.0,-120195000.0
Net Income From Continuing Operation Net Minority Interest,29811000.0,38596000.0,90817000.0,164952000.0,537654000.0,,
Reconciled Depreciation,166602000.0,168917000.0,168366000.0,195420000.0,167139000.0,,
Reconciled Cost Of Revenue,1206721000.0,1129202000.0,1466694000.0,1356723000.0,1280918000.0,,
EBITDA,309682000.0,246840000.0,316192000.0,511026000.0,537474000.0,,
EBIT,143080000.0,77923000.0,147826000.0,315606000.0,370335000.0,,
Net Interest Income,-179772000.0,-195152000.0,-239905000.0,-218612000.0,-165323000.0,,
Interest Expense,213523000.0,120044000.0,126217000.0,259473000.0,210183000.0,,
Interest Income,33751000.0,8426000.0,1992000.0,40861000.0,44860000.0,,
Normalized Income,29811000.0,38578600.0,126156700.0,164952000.0,537654000.0,,
Net Income From Continuing And Discontinued Operation,29811000.0,38596000.0,90817000.0,164952000.0,537654000.0,,
Total Expenses,2545767000.0,2336521000.0,2971455000.0,2717077000.0,2541056000.0,,
Diluted Average Shares,202175894.0,203335000.0,201925422.0,201714030.0,208789562.0,,
Basic Average Shares,202175894.0,201988000.0,201925422.0,201714030.0,206234753.0,,
Diluted EPS,3.1395,0.1898,0.449671,1.4264,2.5751,,
Basic EPS,3.1783,0.1911,0.449671,1.4603,2.607,,
Diluted NI Availto Com Stockholders,29811000.0,38596000.0,90817000.0,164952000.0,537654000.0,,
Net Income Common Stockholders,29811000.0,38596000.0,90817000.0,164952000.0,537654000.0,,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,,
Net Income,29811000.0,38596000.0,90817000.0,164952000.0,537654000.0,,
Minority Interests,,,0.0,0.0,0.0,0.0,647000.0
Net Income Including Noncontrolling Interests,29811000.0,38596000.0,90817000.0,164952000.0,537654000.0,,
Net Income Continuous Operations,29811000.0,38596000.0,90817000.0,164952000.0,537654000.0,,
Tax Provision,-100254000.0,-80717000.0,-69208000.0,-108819000.0,-377502000.0,,
Pretax Income,-70443000.0,-42121000.0,21609000.0,56133000.0,160152000.0,,
Special Income Charges,,29000.0,-53545000.0,,,12839000.0,-120195000.0
Other Special Charges,,-29000.0,-2610000.0,,,-12839000.0,-11685000.0
Net Non Operating Interest Income Expense,-179772000.0,-195152000.0,-239905000.0,-218612000.0,-165323000.0,,
Total Other Finance Cost,,83534000.0,115680000.0,,,83607000.0,75247000.0
Interest Expense Non Operating,213523000.0,120044000.0,126217000.0,259473000.0,210183000.0,,
Interest Income Non Operating,33751000.0,8426000.0,1992000.0,40861000.0,44860000.0,,
Operating Income,118278000.0,143002000.0,291924000.0,241113000.0,360329000.0,,
Operating Expense,1339046000.0,1207319000.0,1504761000.0,1360354000.0,1260138000.0,,
Other Operating Expenses,1312000.0,10041000.0,,,15144000.0,-26678000.0,260381000.0
Selling General And Administration,1349087000.0,1201695000.0,1560000000.0,1360354000.0,1268066000.0,,
Selling And Marketing Expense,990002000.0,870864000.0,1159927000.0,1000410000.0,881304000.0,,
General And Administrative Expense,359085000.0,330831000.0,400073000.0,359944000.0,386762000.0,,
Gross Profit,1457324000.0,1350321000.0,1796685000.0,1601467000.0,1620467000.0,,
Cost Of Revenue,1206721000.0,1129202000.0,1466694000.0,1356723000.0,1280918000.0,,
Total Revenue,2664045000.0,2479523000.0,3263379000.0,2958190000.0,2901385000.0,,
Operating Revenue,2664045000.0,2479523000.0,3263379000.0,2958190000.0,2901385000.0,,
