,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,6599935.5,7007400.0,0.0,0.0,,
Tax Rate For Calcs,0.4,0.3863,0.34,0.34,0.34,,
Normalized EBITDA,534238000.0,296273000.0,501824000.0,574085000.0,541874000.0,,
Total Unusual Items,,17085000.0,20610000.0,,,27319000.0,57086000.0
Total Unusual Items Excluding Goodwill,,17085000.0,20610000.0,,,27319000.0,57086000.0
Net Income From Continuing Operation Net Minority Interest,12014000.0,-144908000.0,10309000.0,18103000.0,21400000.0,,
Reconciled Depreciation,208384000.0,221132000.0,223373000.0,218275000.0,200337000.0,,
Reconciled Cost Of Revenue,2101965000.0,2022697000.0,2082517000.0,2086414000.0,2003767000.0,,
EBITDA,534238000.0,313358000.0,522434000.0,574085000.0,541874000.0,,
EBIT,325854000.0,92226000.0,299061000.0,355810000.0,341537000.0,,
Net Interest Income,-284148000.0,-336183000.0,-299048000.0,-294881000.0,-290276000.0,,
Interest Expense,332166000.0,328350000.0,308009000.0,350073000.0,344105000.0,,
Interest Income,48018000.0,42000.0,215000.0,55192000.0,53829000.0,,
Normalized Income,12014000.0,-155393064.5,-3293600.0,18103000.0,21400000.0,,
Net Income From Continuing And Discontinued Operation,12014000.0,-144908000.0,10309000.0,18103000.0,21400000.0,,
Total Expenses,2220349000.0,2296841000.0,2179380000.0,2184275000.0,2094051000.0,,
Diluted Average Shares,285368171.0,285789837.0,,284414768.0,284460986.0,284418106.0,
Basic Average Shares,285368171.0,285368917.0,,284414768.0,284460986.0,284418106.0,
Diluted EPS,0.0421,-0.50779,,0.06365,0.07523,0.112159,
Basic EPS,0.0421,-0.50779,,0.06365,0.07523,0.112159,
Diluted NI Availto Com Stockholders,12014000.0,-144908000.0,10309000.0,18103000.0,21400000.0,,
Net Income Common Stockholders,12014000.0,-144908000.0,10309000.0,18103000.0,21400000.0,,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,,
Net Income,12014000.0,-144908000.0,10309000.0,18103000.0,21400000.0,,
Net Income Including Noncontrolling Interests,12014000.0,-144908000.0,10309000.0,18103000.0,21400000.0,,
Net Income Continuous Operations,12014000.0,-144908000.0,10309000.0,18103000.0,21400000.0,,
Tax Provision,-18326000.0,-91216000.0,-19257000.0,-12366000.0,-23968000.0,,
Pretax Income,-6312000.0,-236124000.0,-8948000.0,5737000.0,-2568000.0,,
Net Non Operating Interest Income Expense,-284148000.0,-336183000.0,-299048000.0,-294881000.0,-290276000.0,,
Total Other Finance Cost,,7875000.0,-8746000.0,,,16585000.0,-15092000.0
Interest Expense Non Operating,332166000.0,328350000.0,308009000.0,350073000.0,344105000.0,,
Interest Income Non Operating,48018000.0,42000.0,215000.0,55192000.0,53829000.0,,
Operating Income,278505000.0,75871000.0,274642000.0,300618000.0,287708000.0,,
Operating Expense,118384000.0,274144000.0,96863000.0,97861000.0,90284000.0,,
Other Operating Expenses,912000.0,140274000.0,99063000.0,-24427000.0,1497000.0,,
Selling General And Administration,124102000.0,133870000.0,131603000.0,122288000.0,118021000.0,,
Selling And Marketing Expense,12041000.0,8260000.0,10115000.0,8630000.0,9731000.0,,
General And Administrative Expense,112061000.0,125610000.0,121488000.0,113658000.0,108290000.0,,
Gross Profit,396889000.0,350015000.0,371505000.0,398479000.0,377992000.0,,
Cost Of Revenue,2101965000.0,2022697000.0,2082517000.0,2086414000.0,2003767000.0,,
Total Revenue,2498854000.0,2372712000.0,2454022000.0,2484893000.0,2381759000.0,,
Operating Revenue,2498854000.0,2372712000.0,2454022000.0,2484893000.0,2381759000.0,,
