,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,,
Tax Rate For Calcs,0.4,0.4,0.34,0.226683,0.375993,,
Normalized EBITDA,82511000.0,60993000.0,100254000.0,92761000.0,108327000.0,,
Net Income From Continuing Operation Net Minority Interest,4458000.0,-2521000.0,99698000.0,45881000.0,18616000.0,,
Reconciled Depreciation,49614000.0,48997000.0,49600000.0,51630000.0,51246000.0,,
Reconciled Cost Of Revenue,465127000.0,458646000.0,474489000.0,421930000.0,551323000.0,,
EBITDA,82511000.0,60993000.0,100254000.0,92761000.0,108327000.0,,
EBIT,32897000.0,11996000.0,50654000.0,41131000.0,57081000.0,,
Net Interest Income,22109000.0,-11097000.0,-10479000.0,23789000.0,23912000.0,,
Interest Expense,17376000.0,7467000.0,7017000.0,,27131000.0,9608000.0,
Interest Income,39485000.0,1606000.0,940000.0,,51043000.0,3114000.0,
Normalized Income,4458000.0,-2521000.0,99698000.0,45881000.0,18616000.0,,
Net Income From Continuing And Discontinued Operation,4458000.0,-2521000.0,99698000.0,45881000.0,18616000.0,,
Total Expenses,530131000.0,520245000.0,596188000.0,501437000.0,633403000.0,,
Total Operating Income As Reported,-6588000.0,,,,6038000.0,,
Diluted Average Shares,338867600.0,234027600.0,,360020402.0,361265282.0,234546800.0,
Basic Average Shares,338867600.0,234027600.0,,360020402.0,361265282.0,234546800.0,
Diluted EPS,0.013392,-0.00698,,0.12744,0.05153,0.06668,
Basic EPS,0.013392,-0.00698,,0.12744,0.05153,0.06668,
Diluted NI Availto Com Stockholders,4458000.0,-2521000.0,99698000.0,45881000.0,18616000.0,,
Net Income Common Stockholders,4458000.0,-2521000.0,99698000.0,45881000.0,18616000.0,,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,,
Net Income,4458000.0,-2521000.0,99698000.0,45881000.0,18616000.0,,
Minority Interests,-80000.0,-73000.0,-82000.0,-78000.0,-73000.0,,
Net Income Including Noncontrolling Interests,4538000.0,-2448000.0,99780000.0,45959000.0,18689000.0,,
Net Income Continuous Operations,4538000.0,-2448000.0,99780000.0,45959000.0,18689000.0,,
Tax Provision,10983000.0,6977000.0,-56143000.0,13472000.0,11261000.0,,
Pretax Income,15521000.0,4529000.0,43637000.0,59431000.0,29950000.0,,
Net Non Operating Interest Income Expense,22109000.0,-11097000.0,-10479000.0,23789000.0,23912000.0,,
Total Other Finance Cost,,5236000.0,4402000.0,-23789000.0,,6409000.0,9318000.0
Interest Expense Non Operating,17376000.0,7467000.0,7017000.0,,27131000.0,9608000.0,
Interest Income Non Operating,39485000.0,1606000.0,940000.0,,51043000.0,3114000.0,
Operating Income,-6588000.0,-13873000.0,6408000.0,41131000.0,6038000.0,,
Operating Expense,65004000.0,61599000.0,121699000.0,79507000.0,82080000.0,,
Other Operating Expenses,21444000.0,34289000.0,-54396000.0,44883000.0,28187000.0,,
Selling General And Administration,43560000.0,47696000.0,123052000.0,43838000.0,53893000.0,,
Selling And Marketing Expense,5098000.0,5205000.0,5800000.0,8073000.0,5795000.0,,
General And Administrative Expense,38462000.0,42491000.0,117252000.0,35765000.0,48098000.0,,
Gross Profit,58416000.0,47726000.0,128107000.0,120638000.0,88118000.0,,
Cost Of Revenue,465127000.0,458646000.0,474489000.0,421930000.0,551323000.0,,
Total Revenue,523543000.0,506372000.0,602596000.0,542568000.0,639441000.0,,
Operating Revenue,523543000.0,506372000.0,602596000.0,542568000.0,639441000.0,,
