,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,78379341.299179,99584252.724141,529632807.719805,0.0,,
Tax Rate For Calcs,0.319386,0.25812,0.099518,0.333953,0.33829,,
Normalized EBITDA,3888250000.0,4044644000.0,4321221000.0,2869525000.0,3876366000.0,,
Total Unusual Items,,303655000.0,1000669000.0,1585951000.0,258515000.0,197442000.0,
Total Unusual Items Excluding Goodwill,,303655000.0,1000669000.0,1585951000.0,258515000.0,197442000.0,
Net Income From Continuing Operation Net Minority Interest,1464000000.0,1749031000.0,2685440000.0,2158565000.0,2136000000.0,,
Reconciled Depreciation,738250000.0,697472000.0,546755000.0,535081000.0,543366000.0,,
Reconciled Cost Of Revenue,3602750000.0,5400019000.0,6867652000.0,5954826000.0,3082634000.0,,
EBITDA,3888250000.0,4348299000.0,5321890000.0,4455476000.0,3876366000.0,,
EBIT,3150000000.0,3650827000.0,4775135000.0,3920395000.0,3333000000.0,,
Net Interest Income,-1017000000.0,-1300695000.0,-1860044000.0,-784664000.0,-118000000.0,,
Interest Income,,159307000.0,149869000.0,97649000.0,328267000.0,73517000.0,
Normalized Income,1464000000.0,1523755341.299179,1784355252.724141,1102246807.719805,2136000000.0,,
Net Income From Continuing And Discontinued Operation,1464000000.0,1749031000.0,2685440000.0,2158565000.0,2136000000.0,,
Total Expenses,7058000000.0,6618548000.0,7451003000.0,6992771000.0,5632000000.0,,
Total Operating Income As Reported,,3383665000.0,,,,2843896000.0,
Diluted Average Shares,3485714286.0,3523860958.0,,3524534026.0,3445161290.0,3417549345.0,
Basic Average Shares,3485714286.0,3523385573.0,,3524534026.0,3445161290.0,3417549345.0,
Diluted EPS,0.42,0.5,,0.612816,0.62,0.43,
Basic EPS,0.42,0.5,,0.612816,0.62,0.43,
Diluted NI Availto Com Stockholders,1464000000.0,1749031000.0,2685440000.0,2158565000.0,2136000000.0,,
Net Income Common Stockholders,1464000000.0,1749031000.0,2685440000.0,2158565000.0,2136000000.0,,
Net Income,1464000000.0,1749031000.0,2685440000.0,2158565000.0,2136000000.0,,
Net Income Including Noncontrolling Interests,1464000000.0,1749031000.0,2685440000.0,2158565000.0,2136000000.0,,
Net Income Continuous Operations,1464000000.0,1749031000.0,2685440000.0,2158565000.0,2136000000.0,,
Tax Provision,687000000.0,608534000.0,296784000.0,1082294000.0,1092000000.0,,
Pretax Income,2151000000.0,2357565000.0,2982224000.0,3240859000.0,3228000000.0,,
Other Income Expense,18000000.0,311966000.0,1016842000.0,1593403000.0,13000000.0,,
Other Non Operating Income Expenses,18000000.0,,,,13000000.0,,
Special Income Charges,,,238774000.0,1550234000.0,20304000.0,,124648000.0
Other Special Charges,,,-238774000.0,-1550234000.0,-20304000.0,,-124648000.0
Earnings From Equity Interest,,8311000.0,16173000.0,7452000.0,13180000.0,11348000.0,
Gain On Sale Of Security,,303655000.0,761895000.0,35717000.0,238211000.0,197442000.0,
Net Non Operating Interest Income Expense,-1017000000.0,-1300695000.0,-1860044000.0,-784664000.0,-118000000.0,,
Total Other Finance Cost,1017000000.0,166740000.0,217002000.0,202777000.0,118000000.0,,
Interest Expense Non Operating,,1293262000.0,1792911000.0,679536000.0,484742000.0,691892000.0,
Interest Income Non Operating,,159307000.0,149869000.0,97649000.0,328267000.0,73517000.0,
Operating Income,3150000000.0,3346294000.0,3825426000.0,2432120000.0,3333000000.0,,
Operating Expense,3455000000.0,569233000.0,10835000.0,562284000.0,2549000000.0,,
Other Operating Expenses,2717000000.0,18827000.0,-281596000.0,54304000.0,2006000000.0,,
Other Taxes,,66502000.0,63130000.0,112599000.0,46927000.0,37864000.0,
Provision For Doubtful Accounts,,53602000.0,90425000.0,-352449000.0,187392000.0,136699000.0,
Depreciation Amortization Depletion Income Statement,738000000.0,48176000.0,-25761000.0,59420000.0,543000000.0,,
Depreciation And Amortization In Income Statement,738000000.0,48176000.0,-25761000.0,59420000.0,543000000.0,,
Selling General And Administration,,382126000.0,164637000.0,688410000.0,178332000.0,493028000.0,
Selling And Marketing Expense,,100651000.0,109227000.0,82085000.0,102005000.0,105396000.0,
General And Administrative Expense,,281475000.0,55410000.0,606325000.0,76327000.0,387632000.0,
Other Gand A,,120923000.0,129637000.0,221792000.0,-147912000.0,186365000.0,
Salaries And Wages,,160552000.0,-74227000.0,384533000.0,224239000.0,201267000.0,
Gross Profit,6605000000.0,3915527000.0,3836261000.0,2994404000.0,5882000000.0,,
Cost Of Revenue,3603000000.0,6049315000.0,7440168000.0,6430487000.0,3083000000.0,,
Total Revenue,10208000000.0,9964842000.0,11276429000.0,9424891000.0,8965000000.0,,
Excise Taxes,589000000.0,417560000.0,511006000.0,429528000.0,374000000.0,,
Operating Revenue,10797000000.0,10039914000.0,13600204000.0,9700255000.0,9339000000.0,,
