,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,-43221377.507704,-5646588.0,-51868476.393548,3218158.254976,24615459.594563,,
Tax Rate For Calcs,0.321076,0.353,0.317851,0.24945,0.232009,,
Normalized EBITDA,3763963000.0,2658548000.0,1887918000.0,2245962000.0,2489516000.0,,
Total Unusual Items,-134614000.0,-15996000.0,-163185000.0,12901000.0,106097000.0,,
Total Unusual Items Excluding Goodwill,-134614000.0,-15996000.0,-163185000.0,12901000.0,106097000.0,,
Net Income From Continuing Operation Net Minority Interest,1548855000.0,875574000.0,506277000.0,711288000.0,1109754000.0,,
Reconciled Depreciation,431302000.0,437880000.0,435744000.0,452474000.0,393874000.0,,
Reconciled Cost Of Revenue,36902731000.0,33577632000.0,35359453000.0,34556279000.0,31907336000.0,,
EBITDA,3629349000.0,2642552000.0,1724733000.0,2258863000.0,2595613000.0,,
EBIT,3198047000.0,2204672000.0,1288989000.0,1806389000.0,2201739000.0,,
Net Interest Income,-520323000.0,-373775000.0,-284851000.0,-401028000.0,-31413000.0,,
Interest Expense,727610000.0,792250000.0,646008000.0,774472000.0,675781000.0,,
Interest Income,207287000.0,439951000.0,356375000.0,373444000.0,644368000.0,,
Normalized Income,1640247622.492296,885923412.0,617593523.606452,701605158.254976,1028272459.594563,,
Net Income From Continuing And Discontinued Operation,1548855000.0,875574000.0,323455000.0,709188000.0,1088364000.0,,
Total Expenses,38376736000.0,34929064000.0,36820090000.0,35605750000.0,32645187000.0,,
Total Operating Income As Reported,2990760000.0,1831601000.0,,,1557371000.0,940508000.0,
Diluted Average Shares,1094459000.0,1092953000.0,1076666667.0,1107587000.0,1109447000.0,,
Basic Average Shares,1070045000.0,1068765000.0,1076666667.0,1086560000.0,1088259000.0,,
Diluted EPS,1.4152,0.8011,0.3,0.6403,0.981,,
Basic EPS,1.4475,0.8192,0.3,0.6527,1.0001,,
Diluted NI Availto Com Stockholders,1548855000.0,875574000.0,323455000.0,709188000.0,1088364000.0,,
Net Income Common Stockholders,1548855000.0,875574000.0,323455000.0,709188000.0,1088364000.0,,
Net Income,1548855000.0,875574000.0,323455000.0,709188000.0,1088364000.0,,
Minority Interests,-128383000.0,-38584000.0,67668000.0,-63217000.0,-62168000.0,,
Net Income Including Noncontrolling Interests,1677238000.0,914158000.0,255787000.0,772405000.0,1150532000.0,,
Net Income Discontinuous Operations,0.0,,-182822000.0,-2100000.0,-21390000.0,,
Net Income Continuous Operations,1677238000.0,914158000.0,438609000.0,774505000.0,1171922000.0,,
Tax Provision,793199000.0,498264000.0,204372000.0,257412000.0,354036000.0,,
Pretax Income,2470437000.0,1412422000.0,642981000.0,1031917000.0,1525958000.0,,
Other Income Expense,-153751000.0,-36309000.0,-203458000.0,4840000.0,147515000.0,,
Special Income Charges,-134614000.0,94000.0,65162000.0,12901000.0,106097000.0,,
Gain On Sale Of Ppe,-134212000.0,497000.0,65565000.0,13304000.0,15394000.0,,
Restructuring And Mergern Acquisition,402000.0,403000.0,403000.0,403000.0,-90703000.0,,
Earnings From Equity Interest,-19137000.0,-20313000.0,-40273000.0,-8061000.0,41418000.0,,
Gain On Sale Of Security,,-16090000.0,-228347000.0,,,61711000.0,-147401000.0
Net Non Operating Interest Income Expense,-520323000.0,-373775000.0,-284851000.0,-401028000.0,-31413000.0,,
Total Other Finance Cost,,21476000.0,-4782000.0,,,12726000.0,-58321000.0
Interest Expense Non Operating,727610000.0,792250000.0,646008000.0,774472000.0,675781000.0,,
Interest Income Non Operating,207287000.0,439951000.0,356375000.0,373444000.0,644368000.0,,
Operating Income,3144511000.0,1822506000.0,1131290000.0,1428105000.0,1409856000.0,,
Operating Expense,1474005000.0,1351432000.0,1460637000.0,1049471000.0,737851000.0,,
Other Operating Expenses,35152000.0,31741000.0,174142000.0,-123507000.0,-450056000.0,,
Selling General And Administration,1438853000.0,1319691000.0,1286495000.0,1172978000.0,1187907000.0,,
Selling And Marketing Expense,809133000.0,663990000.0,664035000.0,603771000.0,648523000.0,,
General And Administrative Expense,629720000.0,655701000.0,622460000.0,569207000.0,539384000.0,,
Other Gand A,629720000.0,655701000.0,622460000.0,569207000.0,539384000.0,,
Gross Profit,4618516000.0,3173938000.0,2591927000.0,2477576000.0,2147707000.0,,
Cost Of Revenue,36902731000.0,33577632000.0,35359453000.0,34556279000.0,31907336000.0,,
Total Revenue,41521247000.0,36751570000.0,37951380000.0,37033855000.0,34055043000.0,,
Excise Taxes,,871341000.0,942770000.0,,,1013326000.0,
Operating Revenue,41521247000.0,38090934000.0,34225848000.0,37033855000.0,34055043000.0,,
