,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,-280902000.0,-69278000.0,540530026.389845,25727800.0,-53661520.0,
Tax Rate For Calcs,0.4,0.4,0.280895,0.34,0.34,
Normalized EBITDA,743431000.0,1097638000.0,-1095239000.0,697980000.0,650065000.0,
Total Unusual Items,-702255000.0,-173195000.0,1924316000.0,75670000.0,-157828000.0,
Total Unusual Items Excluding Goodwill,-702255000.0,-173195000.0,1924316000.0,75670000.0,-157828000.0,
Net Income From Continuing Operation Net Minority Interest,-505157000.0,352681000.0,361326000.0,246401000.0,263848000.0,
Reconciled Depreciation,174854000.0,172399000.0,166023000.0,154973000.0,153921000.0,
Reconciled Cost Of Revenue,829668000.0,789461000.0,799795000.0,786147000.0,723355000.0,
EBITDA,41176000.0,924443000.0,829077000.0,773650000.0,492237000.0,
EBIT,-133678000.0,752044000.0,663054000.0,618677000.0,338316000.0,
Net Interest Income,-129481000.0,-100044000.0,-175320000.0,-145248000.0,-79406000.0,
Interest Expense,150274000.0,153465000.0,160588000.0,169177000.0,136977000.0,
Interest Income,37755000.0,74928000.0,55354000.0,47454000.0,58482000.0,
Normalized Income,-83804000.0,456598000.0,-1022459973.610155,196458800.0,368014480.0,
Net Income From Continuing And Discontinued Operation,-505157000.0,352681000.0,361326000.0,246401000.0,263848000.0,
Total Expenses,1571591000.0,1256060000.0,3484965000.0,1391098000.0,1319434000.0,
Diluted NI Availto Com Stockholders,-505157000.0,352681000.0,112914000.0,246401000.0,263848000.0,
Net Income Common Stockholders,-505157000.0,352681000.0,112914000.0,246401000.0,263848000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Preferred Stock Dividends,,,248412000.0,,,
Net Income,-505157000.0,352681000.0,361326000.0,246401000.0,263848000.0,
Net Income Including Noncontrolling Interests,-505157000.0,352681000.0,361326000.0,246401000.0,263848000.0,
Net Income Continuous Operations,-505157000.0,352681000.0,361326000.0,246401000.0,263848000.0,
Tax Provision,221205000.0,245898000.0,141140000.0,203099000.0,-62509000.0,
Pretax Income,-283952000.0,598579000.0,502466000.0,449500000.0,201339000.0,
Other Non Operating Income Expenses,26980000.0,-26980000.0,,-18849000.0,-10063000.0,-92411000.0
Special Income Charges,-694545000.0,-152686000.0,1941006000.0,-80102000.0,-39751000.0,
Other Special Charges,689762000.0,151440000.0,-1948082000.0,76733000.0,38738000.0,
Write Off,4783000.0,1246000.0,7076000.0,3369000.0,1013000.0,
Net Non Operating Interest Income Expense,-129481000.0,-100044000.0,-175320000.0,-145248000.0,-79406000.0,
Total Other Finance Cost,16962000.0,21507000.0,70086000.0,23525000.0,911000.0,
Interest Expense Non Operating,150274000.0,153465000.0,160588000.0,169177000.0,136977000.0,
Interest Income Non Operating,37755000.0,74928000.0,55354000.0,47454000.0,58482000.0,
Operating Income,329569000.0,690294000.0,-1594013000.0,413073000.0,385937000.0,
Operating Expense,741923000.0,466599000.0,2685170000.0,604951000.0,596079000.0,
Other Operating Expenses,319438000.0,64750000.0,202222000.0,189300000.0,231508000.0,
Depreciation And Amortization In Income Statement,39711000.0,39968000.0,36821000.0,30341000.0,32028000.0,
Depreciation Income Statement,39711000.0,39968000.0,36821000.0,30341000.0,32028000.0,
Selling General And Administration,125454000.0,130640000.0,123263000.0,121588000.0,89132000.0,
Selling And Marketing Expense,81008000.0,71131000.0,70730000.0,73210000.0,61649000.0,
General And Administrative Expense,44446000.0,59509000.0,52533000.0,48378000.0,27483000.0,
Gross Profit,1071492000.0,1156893000.0,1091157000.0,1018024000.0,982016000.0,
Cost Of Revenue,829668000.0,789461000.0,799795000.0,786147000.0,723355000.0,
Total Revenue,1901160000.0,1946354000.0,1890952000.0,1804171000.0,1705371000.0,
Operating Revenue,1901160000.0,1946354000.0,1890952000.0,1804171000.0,1705371000.0,
