,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Free Cash Flow,261308000.0,-42277000.0,238619000.0,9605000.0,162645000.0,
Repurchase Of Capital Stock,-6464000.0,-152763000.0,-29423000.0,4923000.0,2082000.0,
Repayment Of Debt,-746566000.0,-1271569000.0,-1543792000.0,-1177951000.0,-1154568000.0,
Issuance Of Debt,1175704000.0,1188202000.0,1339343000.0,1796750000.0,767656000.0,
Issuance Of Capital Stock,0.0,45000.0,0.0,0.0,0.0,
Capital Expenditure,-85481000.0,-65941000.0,-70043000.0,-73493000.0,-77827000.0,
End Cash Position,438286000.0,450314000.0,255863000.0,715735000.0,322566000.0,
Beginning Cash Position,450314000.0,255863000.0,715735000.0,322566000.0,534083000.0,
Effect Of Exchange Rate Changes,-9310000.0,-38480000.0,-2113000.0,-22935000.0,1749000.0,
Changes In Cash,-2718000.0,232931000.0,-457759000.0,416104000.0,-213266000.0,
Financing Cash Flow,200505000.0,-567296000.0,-904113000.0,555245000.0,-798231000.0,
Net Other Financing Charges,-11453000.0,-73926000.0,-564849000.0,251250000.0,-189749000.0,
Interest Paid Cff,-210716000.0,-257285000.0,-214618000.0,-210501000.0,-223652000.0,
Net Common Stock Issuance,-6464000.0,-152718000.0,-29423000.0,4923000.0,2082000.0,
Common Stock Payments,-6464000.0,-152763000.0,-29423000.0,4923000.0,2082000.0,
Common Stock Issuance,0.0,45000.0,0.0,0.0,0.0,
Net Issuance Payments Of Debt,429138000.0,-83367000.0,-204449000.0,618799000.0,-386912000.0,
Net Long Term Debt Issuance,429138000.0,-83367000.0,-204449000.0,618799000.0,-386912000.0,
Long Term Debt Payments,-746566000.0,-1271569000.0,-1543792000.0,-1177951000.0,-1154568000.0,
Long Term Debt Issuance,1175704000.0,1188202000.0,1339343000.0,1796750000.0,767656000.0,
Investing Cash Flow,-550012000.0,776563000.0,137692000.0,-222239000.0,344493000.0,
Net Investment Purchase And Sale,-432984000.0,374113000.0,119013000.0,-364840000.0,149256000.0,
Sale Of Investment,3917484000.0,3713185000.0,10539232000.0,262520000.0,751799000.0,
Purchase Of Investment,-4350468000.0,-3339072000.0,-10420219000.0,-627360000.0,-602543000.0,
Net Investment Properties Purchase And Sale,-10687000.0,-5778000.0,-30884000.0,10302000.0,-46292000.0,
Purchase Of Investment Properties,-10687000.0,-5778000.0,-30884000.0,10302000.0,-46292000.0,
Net Business Purchase And Sale,-3267000.0,478343000.0,-5678000.0,206829000.0,321036000.0,
Sale Of Business,921000.0,483021000.0,0.0,195829000.0,333994000.0,
Purchase Of Business,-4188000.0,-4678000.0,-5678000.0,11000000.0,-12958000.0,
Net PPE Purchase And Sale,-85481000.0,-65941000.0,-70043000.0,-73493000.0,-77827000.0,
Purchase Of PPE,-85481000.0,-65941000.0,-70043000.0,-73493000.0,-77827000.0,
Operating Cash Flow,346789000.0,23664000.0,308662000.0,83098000.0,240472000.0,
Taxes Refund Paid,-59358000.0,-58102000.0,-60122000.0,-37352000.0,-40965000.0,
Interest Paid Cfo,-21994000.0,-20964000.0,-15295000.0,-16691000.0,-16671000.0,
Change In Working Capital,-76617000.0,-351893000.0,-33853000.0,-417697000.0,-200100000.0,
Change In Other Current Liabilities,-39429000.0,-41986000.0,,43795000.0,54398000.0,-15901000.0
Change In Other Current Assets,-3376000.0,23802000.0,-2599000.0,-166763000.0,-11083000.0,
Change In Payable,38437000.0,159387000.0,102403000.0,61424000.0,73623000.0,
Change In Prepaid Assets,-29128000.0,-54415000.0,3959000.0,-16831000.0,-54796000.0,
Change In Inventory,80760000.0,-112051000.0,272056000.0,125889000.0,54568000.0,
Change In Receivables,-165563000.0,-326630000.0,-381660000.0,-445217000.0,-336804000.0,
Other Non Cash Items,314671000.0,299754000.0,137658000.0,317239000.0,345640000.0,
Stock Based Compensation,3481000.0,3084000.0,3394000.0,3851000.0,3852000.0,
Provisionand Write Offof Assets,108704000.0,126802000.0,117114000.0,109727000.0,122941000.0,
Deferred Tax,14407000.0,19781000.0,33009000.0,2494000.0,8752000.0,
Depreciation And Amortization,61520000.0,55902000.0,59172000.0,58375000.0,69287000.0,
Depreciation,61520000.0,55902000.0,59172000.0,58375000.0,69287000.0,
Gain Loss On Investment Securities,89050000.0,11328000.0,36333000.0,-4185000.0,-19696000.0,
Gain Loss On Sale Of Business,0.0,25190000.0,,-7647000.0,19983000.0,0.0
Net Income From Continuing Operations,-645762000.0,-76264000.0,53494000.0,104841000.0,-838363000.0,
